"""call_number""","""unit_id""","""incident_number""","""call_type""","""call_date""","""watch_date""","""received_dttm""","""entry_dttm""","""dispatch_dttm""","""response_dttm""","""on_scene_dttm""","""transport_dttm""","""hospital_dttm""","""call_final_disposition""","""available_dttm""","""address""","""city""","""zipcode_of_incident""","""battalion""","""station_area""","""box""","""original_priority""","""priority""","""final_priority""","""als_unit""","""call_type_group""","""number_of_alarms""","""unit_type""","""unit_sequence_in_call_dispatch""","""fire_prevention_district""","""supervisor_district""","""neighborhoods_analysis_boundaries""","""rowid""","""case_location""","""data_as_of""","""data_loaded_at""",""":@computed_region_ajp5_b2md""" 
"""063270166""","""M07""","""06092279""","""Medical Incident""","""2006-11-23T00:00:00.000""","""2006-11-23T00:00:00.000""","""2006-11-23T12:26:04.000""","""2006-11-23T12:28:01.000""","""2006-11-23T12:28:17.000""",,,,,"""Other""","""2006-11-23T12:30:34.000""","""MISSION ST/09TH ST""","""SF""","""94103""","""B02""","""36""","""2336""","""3""","""3""","""3""","""true""",,"""1""","""MEDIC""","""3""","""2""","""6""","""South of Market""","""063270166-M07""","""POINT (-122.41471 37.77623)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""34"""
"""063270269""","""E08""","""06092360""","""Medical Incident""","""2006-11-23T00:00:00.000""","""2006-11-23T00:00:00.000""","""2006-11-23T17:12:51.000""","""2006-11-23T17:14:26.000""","""2006-11-23T17:15:38.000""","""2006-11-23T17:17:15.000""",,,,"""Other""","""2006-11-23T17:33:35.000""","""BONIFACIO ST/MABINI ST""","""SF""","""94107""","""B03""","""08""","""2175""","""3""","""3""","""3""","""true""",,"""1""","""ENGINE""","""2""","""3""","""6""","""South of Market""","""063270269-E08""","""POINT (-122.39983 37.782215)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""34"""
"""063180012""","""T16""","""06089696""","""Structure Fire / Smoke in Building""","""2006-11-14T00:00:00.000""","""2006-11-13T00:00:00.000""","""2006-11-14T00:34:02.000""","""2006-11-14T00:34:02.000""","""2006-11-14T00:34:21.000""",,,,,"""Cancelled""","""2006-11-14T00:37:12.000""","""BAY ST/POLK ST""","""SF""","""94109""","""B01""","""28""","""3134""","""3""","""3""","""3""","""false""",,"""1""","""TRUCK""","""1""","""1""","""2""","""Russian Hill""","""063180012-T16""","""POINT (-122.42347 37.804356)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""32"""
"""063130072""","""M07""","""06088287""","""Traffic Collision""","""2006-11-09T00:00:00.000""","""2006-11-09T00:00:00.000""","""2006-11-09T08:32:47.000""","""2006-11-09T08:33:43.000""","""2006-11-09T08:35:28.000""","""2006-11-09T08:35:50.000""","""2006-11-09T08:38:45.000""","""2006-11-09T08:45:51.000""","""2006-11-09T08:53:38.000""","""Code 2 Transport""","""2006-11-09T09:11:56.000""","""VERMONT ST/DIVISION ST""","""SF""","""94103""","""B03""","""29""","""2326""","""3""","""3""","""3""","""true""",,"""1""","""MEDIC""","""2""","""2""","""10""","""Mission""","""063130072-M07""","""POINT (-122.40499 37.769714)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""20"""
"""063220280""","""B04""","""06090966""","""Alarms""","""2006-11-18T00:00:00.000""","""2006-11-18T00:00:00.000""","""2006-11-18T16:57:47.000""","""2006-11-18T16:58:20.000""","""2006-11-18T16:58:28.000""","""2006-11-18T16:59:20.000""","""2006-11-18T17:02:41.000""",,,"""Fire""","""2006-11-18T17:07:55.000""","""ELLIS ST/LAGUNA ST""","""SF""","""94109""","""B02""","""05""","""3366""","""3""","""3""","""3""","""false""",,"""1""","""CHIEF""","""3""","""2""","""5""","""Western Addition""","""063220280-B04""","""POINT (-122.42758 37.782986)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""39"""
"""063210169""","""E07""","""06090614""","""Medical Incident""","""2006-11-17T00:00:00.000""","""2006-11-17T00:00:00.000""","""2006-11-17T12:24:16.000""","""2006-11-17T12:26:20.000""","""2006-11-17T12:26:54.000""",,,,,"""Other""","""2006-11-17T12:40:47.000""","""FOLSOM ST/20TH ST""","""SF""","""94110""","""B06""","""07""","""0556""","""3""","""3""","""3""","""true""",,"""1""","""ENGINE""","""2""","""6""","""9""","""Mission""","""063210169-E07""","""POINT (-122.41469 37.758896)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""20"""
"""063290080""","""E43""","""06092766""","""Medical Incident""","""2006-11-25T00:00:00.000""","""2006-11-24T00:00:00.000""","""2006-11-25T07:23:10.000""","""2006-11-25T07:24:43.000""","""2006-11-25T07:25:01.000""","""2006-11-25T07:26:06.000""","""2006-11-25T07:28:55.000""","""2006-11-25T07:49:54.000""","""2006-11-25T07:49:59.000""","""Other""","""2006-11-25T08:00:35.000""","""SUNNYDALE AVE/SANTOS ST""","""SF""","""94134""","""B09""","""43""","""6241""","""E""","""E""","""3""","""true""",,"""1""","""ENGINE""","""2""","""9""","""10""","""Visitacion Valley""","""063290080-E43""","""POINT (-122.41828 37.71235)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""40"""
"""063260276""","""RC3""","""06092109""","""Medical Incident""","""2006-11-22T00:00:00.000""","""2006-11-22T00:00:00.000""","""2006-11-22T19:53:57.000""","""2006-11-22T19:55:26.000""","""2006-11-22T19:55:52.000""","""2006-11-22T19:57:30.000""",,,,"""Other""","""2006-11-22T19:59:39.000""","""26TH ST/HAMPSHIRE ST""","""SF""","""94110""","""B06""","""09""","""5616""","""E""","""E""","""3""","""true""",,"""1""","""RESCUE CAPTAIN""","""3""","""6""","""9""","""Mission""","""063260276-RC3""","""POINT (-122.4069 37.749718)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""20"""
"""063190144""","""T15""","""06090053""","""Structure Fire / Smoke in Building""","""2006-11-15T00:00:00.000""","""2006-11-15T00:00:00.000""","""2006-11-15T10:53:01.000""","""2006-11-15T10:53:01.000""","""2006-11-15T10:53:50.000""","""2006-11-15T10:54:08.000""",,,,"""Other""","""2006-11-15T10:56:26.000""","""OCEAN AVE/BRIGHTON AVE""","""SF""","""94112""","""B09""","""15""","""8472""","""3""","""3""","""3""","""true""",,"""1""","""TRUCK""","""2""","""9""","""7""","""West of Twin Peaks""","""063190144-T15""","""POINT (-122.45514 37.72367)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""24"""
"""063260180""","""E06""","""06092032""","""Medical Incident""","""2006-11-22T00:00:00.000""","""2006-11-22T00:00:00.000""","""2006-11-22T13:43:31.000""","""2006-11-22T13:46:15.000""","""2006-11-22T13:47:05.000""","""2006-11-22T13:49:41.000""","""2006-11-22T13:50:35.000""",,,"""Other""","""2006-11-22T13:56:21.000""","""HAIGHT ST/WEBSTER ST""","""SF""","""94102""","""B02""","""06""","""3524""","""3""","""3""","""3""","""false""",,"""1""","""ENGINE""","""2""","""2""","""5""","""Hayes Valley""","""063260180-E06""","""POINT (-122.4288 37.772316)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""9"""
"""063210365""","""87""","""06090760""","""Medical Incident""","""2006-11-17T00:00:00.000""","""2006-11-17T00:00:00.000""","""2006-11-17T23:33:11.000""","""2006-11-17T23:33:49.000""","""2006-11-17T23:34:18.000""","""2006-11-17T23:35:04.000""","""2006-11-17T23:39:25.000""","""2006-11-17T23:53:44.000""","""2006-11-17T23:58:47.000""","""Code 2 Transport""","""2006-11-18T00:16:51.000""","""03RD ST/HOWARD ST""","""SF""","""94105""","""B03""","""01""","""2177""","""E""","""E""","""3""","""true""",,"""1""","""MEDIC""","""1""","""3""","""6""","""Financial District/South Beach""","""063210365-87""","""POINT (-122.40047 37.78503)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""8"""
"""063210197""","""E08""","""06090633""","""Medical Incident""","""2006-11-17T00:00:00.000""","""2006-11-17T00:00:00.000""","""2006-11-17T13:39:39.000""","""2006-11-17T13:41:31.000""","""2006-11-17T13:41:46.000""","""2006-11-17T13:42:28.000""","""2006-11-17T13:46:07.000""",,,"""Other""","""2006-11-17T13:49:01.000""","""VERMONT ST/15TH ST""","""SF""","""94103""","""B02""","""29""","""2352""","""3""","""3""","""3""","""true""",,"""1""","""ENGINE""","""1""","""2""","""10""","""Mission""","""063210197-E08""","""POINT (-122.40475 37.767258)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""4"""
"""063220237""","""T15""","""06090933""","""Traffic Collision""","""2006-11-18T00:00:00.000""","""2006-11-18T00:00:00.000""","""2006-11-18T14:33:08.000""","""2006-11-18T14:33:08.000""","""2006-11-18T14:33:08.000""",,"""2006-11-18T14:33:08.000""",,,"""Other""","""2006-11-18T14:45:18.000""","""GENEVA AVE/SAN JOSE AVE""","""SF""","""94112""","""B09""","""15""","""8313""","""3""","""3""","""3""","""false""",,"""1""","""TRUCK""","""1""","""9""","""11""","""Outer Mission""","""063220237-T15""","""POINT (-122.44661 37.720726)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""28"""
"""063280052""","""E07""","""06092482""","""Citizen Assist / Service Call""","""2006-11-24T00:00:00.000""","""2006-11-23T00:00:00.000""","""2006-11-24T05:07:21.000""","""2006-11-24T05:09:25.000""","""2006-11-24T05:09:39.000""","""2006-11-24T05:11:56.000""","""2006-11-24T05:16:42.000""",,,"""Fire""","""2006-11-24T05:52:07.000""","""FORD ST/SANCHEZ ST""","""SF""","""94114""","""B02""","""06""","""5421""","""3""","""3""","""3""","""true""",,"""1""","""ENGINE""","""1""","""5""","""8""","""Castro/Upper Market""","""063280052-E07""","""POINT (-122.43065 37.761955)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""5"""
"""063170007""","""E37""","""06089386""","""Medical Incident""","""2006-11-13T00:00:00.000""","""2006-11-12T00:00:00.000""","""2006-11-13T00:15:30.000""","""2006-11-13T00:16:16.000""","""2006-11-13T00:16:33.000""","""2006-11-13T00:18:35.000""","""2006-11-13T00:20:23.000""",,,"""Other""","""2006-11-13T00:28:42.000""","""BLAIR TER/WISCONSIN ST""","""SF""","""94107""","""B10""","""37""","""2615""","""3""","""3""","""3""","""false""",,"""1""","""ENGINE""","""1""","""10""","""10""","""Potrero Hill""","""063170007-E37""","""POINT (-122.39837 37.751343)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""26"""
"""063140220""","""81""","""06088689""","""Traffic Collision""","""2006-11-10T00:00:00.000""","""2006-11-10T00:00:00.000""","""2006-11-10T14:00:11.000""","""2006-11-10T14:00:11.000""","""2006-11-10T14:00:54.000""",,"""2006-11-10T14:04:34.000""","""2006-11-10T14:20:00.000""","""2006-11-10T14:43:25.000""","""Code 2 Transport""","""2006-11-10T15:15:53.000""","""SUTTER ST/POLK ST""","""SF""","""94109""","""B04""","""03""","""3121""","""2""","""2""","""2""","""true""",,"""1""","""MEDIC""","""2""","""4""","""3""","""Nob Hill""","""063140220-81""","""POINT (-122.42011 37.787758)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""21"""
"""063260292""","""92""","""06092121""","""Medical Incident""","""2006-11-22T00:00:00.000""","""2006-11-22T00:00:00.000""","""2006-11-22T20:58:53.000""","""2006-11-22T20:59:37.000""","""2006-11-22T21:00:26.000""","""2006-11-22T21:00:39.000""","""2006-11-22T21:02:05.000""",,,"""Unable to Locate""","""2006-11-22T21:10:15.000""","""POLK ST/REDWOOD ST""","""SF""","""94102""","""B02""","""03""","""3113""","""2""","""2""","""2""","""true""",,"""1""","""MEDIC""","""1""","""2""","""6""","""Tenderloin""","""063260292-92""","""POINT (-122.41871 37.780773)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""36"""
"""063190227""","""E06""","""06090112""","""Medical Incident""","""2006-11-15T00:00:00.000""","""2006-11-15T00:00:00.000""","""2006-11-15T14:03:31.000""","""2006-11-15T14:04:58.000""","""2006-11-15T14:05:44.000""","""2006-11-15T14:22:56.000""","""2006-11-15T14:24:33.000""",,,"""Other""","""2006-11-15T14:34:29.000""","""18TH ST/COLLINGWOOD ST""","""SF""","""94114""","""B05""","""06""","""5415""","""3""","""3""","""3""","""true""",,"""1""","""ENGINE""","""2""","""5""","""8""","""Castro/Upper Market""","""063190227-E06""","""POINT (-122.43611 37.760822)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""5"""
"""063230252""","""E38""","""06091272""","""Medical Incident""","""2006-11-19T00:00:00.000""","""2006-11-19T00:00:00.000""","""2006-11-19T17:54:15.000""","""2006-11-19T17:57:11.000""","""2006-11-19T17:57:21.000""","""2006-11-19T17:58:01.000""","""2006-11-19T17:59:12.000""",,,"""Other""","""2006-11-19T18:12:18.000""","""PINE ST/BUCHANAN ST""","""SF""","""94115""","""B04""","""38""","""3434""","""3""","""3""","""3""","""true""",,"""1""","""ENGINE""","""1""","""4""","""5""","""Pacific Heights""","""063230252-E38""","""POINT (-122.43036 37.78837)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""30"""
"""063240359""","""M15""","""06091603""","""Medical Incident""","""2006-11-20T00:00:00.000""","""2006-11-20T00:00:00.000""","""2006-11-20T20:38:21.000""","""2006-11-20T20:43:05.000""","""2006-11-20T20:43:15.000""","""2006-11-20T20:44:13.000""","""2006-11-20T20:47:08.000""","""2006-11-20T20:57:04.000""","""2006-11-20T21:05:32.000""","""Code 2 Transport""","""2006-11-20T21:32:10.000""","""PARIS ST/BRAZIL AVE""","""SF""","""94112""","""B09""","""43""","""6127""","""3""","""3""","""3""","""true""",,"""1""","""MEDIC""","""1""","""9""","""11""","""Excelsior""","""063240359-M15""","""POINT (-122.433235 37.723934)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""7"""
"""063190034""","""T17""","""06089993""","""Vehicle Fire""","""2006-11-15T00:00:00.000""","""2006-11-14T00:00:00.000""","""2006-11-15T04:58:36.000""","""2006-11-15T05:00:24.000""","""2006-11-15T05:00:40.000""","""2006-11-15T05:02:30.000""",,,,"""Other""","""2006-11-15T05:05:17.000""","""RAYMOND AVE/DELTA ST""","""SF""","""94134""","""B09""","""44""","""6264""","""3""","""3""","""3""","""true""",,"""1""","""TRUCK""","""2""","""9""","""10""","""Visitacion Valley""","""063190034-T17""","""POINT (-122.409195 37.7138)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""40"""
"""063240139""","""81""","""06091432""","""Medical Incident""","""2006-11-20T00:00:00.000""","""2006-11-20T00:00:00.000""","""2006-11-20T10:46:22.000""","""2006-11-20T10:48:21.000""","""2006-11-20T10:48:29.000""","""2006-11-20T10:51:53.000""","""2006-11-20T10:55:00.000""","""2006-11-20T11:08:32.000""","""2006-11-20T11:13:07.000""","""Code 3 Transport""","""2006-11-20T11:44:18.000""","""BUCHANAN ST/WILLOW ST""","""SF""","""94115""","""B02""","""05""","""3431""","""3""","""3""","""3""","""true""",,"""1""","""MEDIC""","""1""","""2""","""5""","""Western Addition""","""063240139-81""","""POINT (-122.429115 37.782295)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""39"""
"""063160147""","""M29""","""06089230""","""Medical Incident""","""2006-11-12T00:00:00.000""","""2006-11-12T00:00:00.000""","""2006-11-12T11:09:29.000""","""2006-11-12T11:11:57.000""","""2006-11-12T11:12:15.000""","""2006-11-12T11:13:17.000""","""2006-11-12T11:17:11.000""",,,"""Patient Declined Transport""","""2006-11-12T11:21:41.000""","""OLIVE ST/LARKIN ST""","""SF""","""94109""","""B04""","""03""","""1642""","""3""","""3""","""3""","""true""",,"""1""","""MEDIC""","""1""","""2""","""6""","""Tenderloin""","""063160147-M29""","""POINT (-122.41781 37.78471)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""36"""
"""063120340""","""87""","""06088171""","""Medical Incident""","""2006-11-08T00:00:00.000""","""2006-11-08T00:00:00.000""","""2006-11-08T17:04:06.000""","""2006-11-08T17:06:33.000""","""2006-11-08T17:06:48.000""","""2006-11-08T17:07:18.000""","""2006-11-08T17:11:24.000""","""2006-11-08T17:16:20.000""","""2006-11-08T17:20:04.000""","""Code 2 Transport""","""2006-11-08T17:49:02.000""","""EDDY ST/LEAVENWORTH ST""","""SF""","""94102""","""B02""","""03""","""1545""","""3""","""3""","""3""","""true""",,"""1""","""MEDIC""","""1""","""2""","""6""","""Tenderloin""","""063120340-87""","""POINT (-122.41424 37.783722)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""36"""
"""063270270""","""B07""","""06092361""","""Alarms""","""2006-11-23T00:00:00.000""","""2006-11-23T00:00:00.000""","""2006-11-23T17:18:13.000""","""2006-11-23T17:20:27.000""","""2006-11-23T17:21:15.000""","""2006-11-23T17:22:32.000""","""2006-11-23T17:23:31.000""",,,"""Fire""","""2006-11-23T17:31:02.000""","""11TH AVE/GEARY BLVD""","""SF""","""94118""","""B07""","""31""","""7146""","""3""","""3""","""3""","""false""",,"""1""","""CHIEF""","""2""","""7""","""1""","""Inner Richmond""","""063270270-B07""","""POINT (-122.46963 37.78077)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""11"""
"""063170300""","""E36""","""06089597""","""Citizen Assist / Service Call""","""2006-11-13T00:00:00.000""","""2006-11-13T00:00:00.000""","""2006-11-13T18:00:33.000""","""2006-11-13T18:05:33.000""","""2006-11-13T18:05:38.000""","""2006-11-13T18:07:29.000""","""2006-11-13T18:09:19.000""",,,"""Fire""","""2006-11-13T18:17:27.000""","""FRANKLIN ST/GROVE ST""","""SF""","""94102""","""B02""","""36""","""3214""","""3""","""3""","""3""","""true""",,"""1""","""ENGINE""","""1""","""2""","""5""","""Hayes Valley""","""063170300-E36""","""POINT (-122.421524 37.77802)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""9"""
"""063230348""","""E01""","""06091340""","""Medical Incident""","""2006-11-19T00:00:00.000""","""2006-11-19T00:00:00.000""","""2006-11-19T23:28:15.000""","""2006-11-19T23:31:30.000""","""2006-11-19T23:32:05.000""","""2006-11-19T23:33:23.000""","""2006-11-19T23:35:51.000""",,,"""Other""","""2006-11-19T23:41:41.000""","""NATOMA ST/06TH ST""","""SF""","""94103""","""B03""","""01""","""2252""","""3""","""3""","""3""","""true""",,"""1""","""ENGINE""","""2""","""3""","""6""","""South of Market""","""063230348-E01""","""POINT (-122.40769 37.780163)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""34"""
"""063160037""","""M17""","""06089163""","""Medical Incident""","""2006-11-12T00:00:00.000""","""2006-11-11T00:00:00.000""","""2006-11-12T02:46:09.000""","""2006-11-12T02:48:49.000""","""2006-11-12T02:49:39.000""","""2006-11-12T02:52:39.000""","""2006-11-12T02:56:57.000""","""2006-11-12T03:05:41.000""","""2006-11-12T03:15:03.000""","""Code 2 Transport""","""2006-11-12T03:30:16.000""","""NEWHALL ST/PALOU AVE""","""SF""","""94124""","""B10""","""17""","""6471""","""1""","""1""","""2""","""true""",,"""1""","""MEDIC""","""1""","""10""","""10""","""Bayview Hunters Point""","""063160037-M17""","""POINT (-122.39278 37.73504)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""1"""
"""063190119""","""T10""","""06090035""","""Citizen Assist / Service Call""","""2006-11-15T00:00:00.000""","""2006-11-15T00:00:00.000""","""2006-11-15T10:10:08.000""","""2006-11-15T10:11:03.000""","""2006-11-15T10:11:19.000""","""2006-11-15T10:12:15.000""",,,,"""Cancelled""","""2006-11-15T10:14:03.000""","""GEARY BLVD/ARGUELLO BLVD""","""SF""","""94118""","""B07""","""31""","""7113""","""3""","""3""","""3""","""false""",,"""1""","""TRUCK""","""1""","""7""","""1""","""Lone Mountain/USF""","""063190119-T10""","""POINT (-122.45886 37.781258)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""11"""
"""063290263""","""E35""","""06092884""","""Medical Incident""","""2006-11-25T00:00:00.000""","""2006-11-25T00:00:00.000""","""2006-11-25T18:00:04.000""","""2006-11-25T18:02:15.000""","""2006-11-25T18:02:32.000""","""2006-11-25T18:03:04.000""","""2006-11-25T18:03:06.000""",,,"""Other""","""2006-11-25T18:08:45.000""","""STEUART ST/MISSION ST""","""SF""","""94105""","""B03""","""35""","""0912""","""3""","""3""","""3""","""false""",,"""1""","""ENGINE""","""1""","""3""","""3""","""Financial District/South Beach""","""063290263-E35""","""POINT (-122.39318 37.793232)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""8"""
"""063200344""","""E03""","""06090466""","""Medical Incident""","""2006-11-16T00:00:00.000""","""2006-11-16T00:00:00.000""","""2006-11-16T20:37:11.000""","""2006-11-16T20:39:21.000""","""2006-11-16T20:39:40.000""","""2006-11-16T20:40:03.000""","""2006-11-16T20:42:35.000""",,,"""Other""","""2006-11-16T20:53:17.000""","""MCALLISTER ST/CHARLES J BRENHAM PL""","""SF""","""94102""","""B02""","""01""","""1551""","""3""","""3""","""3""","""true""",,"""1""","""ENGINE""","""1""","""2""","""6""","""Tenderloin""","""063200344-E03""","""POINT (-122.41315 37.780994)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""36"""
"""063140367""","""AP""","""06088806""","""Other""","""2006-11-10T00:00:00.000""","""2006-11-10T00:00:00.000""","""2006-11-10T21:05:24.000""","""2006-11-10T21:05:24.000""","""2006-11-10T21:05:24.000""",,,,,"""Other""",,"""CALL BOX: SF INTERNATIONAL AIRPORT""","""SFO""",,"""B09""","""44""","""6913""","""3""","""3""","""3""","""false""",,"""1""","""AIRPORT""","""1""","""None""","""None""","""None""","""063140367-AP""","""POINT (-122.344717912 37.704548808)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""",
"""063220322""","""T11""","""06091005""","""Alarms""","""2006-11-18T00:00:00.000""","""2006-11-18T00:00:00.000""","""2006-11-18T19:04:42.000""","""2006-11-18T19:06:40.000""","""2006-11-18T19:06:50.000""","""2006-11-18T19:08:27.000""",,,,"""Other""","""2006-11-18T19:14:33.000""","""CARNELIAN WAY/DIAMOND HEIGHTS BLVD""","""SF""","""94131""","""B06""","""26""","""8167""","""3""","""3""","""3""","""false""",,"""1""","""TRUCK""","""3""","""6""","""8""","""Noe Valley""","""063220322-T11""","""POINT (-122.442245 37.746883)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""22"""
"""063200124""","""D3""","""06090310""","""Structure Fire / Smoke in Building""","""2006-11-16T00:00:00.000""","""2006-11-16T00:00:00.000""","""2006-11-16T10:26:47.000""","""2006-11-16T10:27:53.000""","""2006-11-16T10:28:05.000""","""2006-11-16T10:29:55.000""",,,,"""Other""","""2006-11-16T10:33:44.000""","""QUINT ST/OAKDALE AVE""","""SF""","""94124""","""B10""","""17""","""6537""","""3""","""3""","""3""","""false""",,"""1""","""CHIEF""","""8""","""10""","""10""","""Bayview Hunters Point""","""063200124-D3""","""POINT (-122.39594 37.737785)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""1"""
"""063290258""","""E29""","""06092880""","""Traffic Collision""","""2006-11-25T00:00:00.000""","""2006-11-25T00:00:00.000""","""2006-11-25T17:38:56.000""","""2006-11-25T17:38:56.000""","""2006-11-25T17:39:11.000""","""2006-11-25T17:40:03.000""","""2006-11-25T17:42:03.000""",,,"""Other""","""2006-11-25T17:46:55.000""","""BRYANT ST/CONVERSE ST""","""SF""","""94103""","""B03""","""29""","""2324""","""3""","""3""","""3""","""true""",,"""1""","""ENGINE""","""2""","""3""","""6""","""South of Market""","""063290258-E29""","""POINT (-122.4075 37.772106)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""34"""
"""063130020""","""RS1""","""06088259""","""Traffic Collision""","""2006-11-09T00:00:00.000""","""2006-11-08T00:00:00.000""","""2006-11-09T01:56:13.000""","""2006-11-09T01:56:58.000""","""2006-11-09T01:57:09.000""","""2006-11-09T02:00:57.000""","""2006-11-09T02:02:29.000""",,,"""Other""","""2006-11-09T02:12:23.000""","""TOWNSEND ST/05TH ST""","""SF""","""94107""","""B03""","""08""","""2236""","""3""","""3""","""3""","""false""",,"""1""","""RESCUE SQUAD""","""5""","""3""","""6""","""Mission Bay""","""063130020-RS1""","""POINT (-122.39721 37.775333)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""4"""
"""063130249""","""T13""","""06088415""","""Structure Fire / Smoke in Building""","""2006-11-09T00:00:00.000""","""2006-11-09T00:00:00.000""","""2006-11-09T15:02:56.000""","""2006-11-09T15:04:02.000""","""2006-11-09T15:04:14.000""","""2006-11-09T15:05:19.000""","""2006-11-09T15:07:43.000""",,,"""Other""","""2006-11-09T15:19:49.000""","""BATTERY ST/BUSH ST""","""SF""","""94111""","""B01""","""13""","""1163""","""3""","""3""","""3""","""true""",,"""1""","""TRUCK""","""2""","""1""","""3""","""Financial District/South Beach""","""063130249-T13""","""POINT (-122.399574 37.79133)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""8"""
"""063210082""","""M07""","""06090556""","""Medical Incident""","""2006-11-17T00:00:00.000""","""2006-11-17T00:00:00.000""","""2006-11-17T08:23:40.000""","""2006-11-17T08:25:30.000""","""2006-11-17T08:25:49.000""","""2006-11-17T08:27:30.000""","""2006-11-17T08:30:13.000""","""2006-11-17T08:42:57.000""","""2006-11-17T09:07:06.000""","""Code 2 Transport""","""2006-11-17T09:31:37.000""","""HARRISON ST/25TH ST""","""SF""","""94110""","""B06""","""07""","""5533""","""3""","""3""","""3""","""false""",,"""1""","""MEDIC""","""2""","""6""","""9""","""Mission""","""063210082-M07""","""POINT (-122.41174 37.751034)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""20"""
"""063200268""","""E08""","""06090406""","""Structure Fire / Smoke in Building""","""2006-11-16T00:00:00.000""","""2006-11-16T00:00:00.000""","""2006-11-16T16:40:38.000""","""2006-11-16T16:41:22.000""","""2006-11-16T16:41:33.000""","""2006-11-16T16:42:54.000""",,,,"""Other""","""2006-11-16T16:47:34.000""","""FOLSOM ST/12TH ST""","""SF""","""94103""","""B02""","""36""","""5121""","""3""","""3""","""3""","""true""",,"""1""","""ENGINE""","""8""","""2""","""6""","""Mission""","""063200268-E08""","""POINT (-122.41499 37.770897)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""20"""
"""063260146""","""T09""","""06092010""","""Structure Fire / Smoke in Building""","""2006-11-22T00:00:00.000""","""2006-11-22T00:00:00.000""","""2006-11-22T12:18:07.000""","""2006-11-22T12:18:50.000""","""2006-11-22T12:19:00.000""",,"""2006-11-22T12:25:07.000""",,,"""Other""","""2006-11-22T12:43:32.000""","""20TH ST/BRYANT ST""","""SF""","""94110""","""B06""","""07""","""5451""","""3""","""3""","""3""","""false""",,"""1""","""TRUCK""","""9""","""6""","""9""","""Mission""","""063260146-T09""","""POINT (-122.40977 37.759193)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""20"""
"""063170274""","""T03""","""06089573""","""Alarms""","""2006-11-13T00:00:00.000""","""2006-11-13T00:00:00.000""","""2006-11-13T16:49:53.000""","""2006-11-13T16:51:21.000""","""2006-11-13T16:51:28.000""","""2006-11-13T16:53:29.000""",,,,"""Other""","""2006-11-13T16:54:32.000""","""TAYLOR ST/MULFORD ALY""","""SF""","""94108""","""B01""","""41""","""1446""","""3""","""3""","""3""","""false""",,"""1""","""TRUCK""","""3""","""1""","""3""","""Nob Hill""","""063170274-T03""","""POINT (-122.412155 37.790123)""","""2024-02-05T03:27:52.000""","""2024-02-05T10:56:25.000""","""21"""
